,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
4,Battle_of_Brasov,"July 17, 1603","Braşov
45°39′N 25°36′E﻿ / ﻿45.650°N 25.600°E﻿ / 45.650; 25.600Coordinates: 45°39′N 25°36′E﻿ / ﻿45.650°N 25.600°E﻿ / 45.650; 25.600",,Radu Șerban,,unknown,unknown,L,,
20,Battle_of_Kluszyn,4 July 1610,Klushino,Decisive Polish victory,Stanisław Żółkiewski,"5,000[2]","30,000 Russians[2][3]
and 5,000 mercenaries
11 guns[2]","6,500–6,800 men[1][2]

2 guns[2]",L,400[2],
124,Siege_of_Recife_(1630),1601–1663,"Atlantic Ocean: Brazil, West Africa, Southern Africa; Indian Ocean: East Africa, India, Burma; East Indies: Straits of Malacca, Indochina, China","Treaty of Hague

Formation of the Dutch Empire
Portuguese Restoration War
Portuguese victory in South America and Africa
Dutch victory in the East","Matias de Albuquerque, Count of Alegrete",,unknown,unknown,L,,
139,Sack_of_Magdeburg,20 May 1631,"Magdeburg
52°08′N 11°37′E﻿ / ﻿52.133°N 11.617°E﻿ / 52.133; 11.617Coordinates: 52°08′N 11°37′E﻿ / ﻿52.133°N 11.617°E﻿ / 52.133; 11.617",Destruction of the city,Sweden,"300 killed
1,600 wounded[1]","24,000","2,400",R,"25,000 inhabitants[1]",
178,Battle_of_Nördlingen_(1634),5–6 September 1634,"Imperial city of Nördlingen, Swabia
(present-day Bavaria, Germany)",Decisive Imperial-Spanish victory[1],Sweden,"2,400 dead or wounded[5]","21,000 infantry and 13,000 cavalry (32 guns)","16,300 infantry and 9,300 cavalry (62 guns)",L,"8,000 dead or wounded
4,000 captured[1][3][4]",
184,Battle_of_Wittstock,4 October 1636,"Wittstock, about 95 km northwest of Berlin (Germany)",Decisive Swedish victory,Sweden,"5,000 dead and 2,000 captured or recruited into the Swedish army","18,600 (8,500 Foot & 10,100 Horse) plus 32 guns","18,000 (7,750 Foot & 10,250 Horse) plus 60 guns",L,"3,100 dead or wounded",
198,Battle_of_Malacca_(1641),2 August 1640 – 14 January 1641,"Malacca, Malaysia",Dutch victory,Tun Abdul Jamil,Unknown,unknown,unknown,L,Unknown,
214,Battle_of_Lostwithiel,13 August – 2 September 1644,"near Lostwithiel in Cornwall
50°24′29″N 4°40′01″W﻿ / ﻿50.408°N 4.667°W﻿ / 50.408; -4.667Coordinates: 50°24′29″N 4°40′01″W﻿ / ﻿50.408°N 4.667°W﻿ / 50.408; -4.667",Royalist victory,Charles I of England,,unknown,unknown,L,,
232,Battle_of_Tuttlingen,24–25 November 1643,Tuttlingen (present-day Germany),Imperial-Spanish victory,Franz von Mercy,"11,000 men

4,000 killed or wounded
7,000 captured

10 guns","15,000 men
10 guns","15,000 men",L,,
240,Battle_of_Marston_Moor,2 July 1644,"near Long Marston, North Yorkshire",Decisive Parliamentarian – Covenanter victory,"Alexander Leslie, 1st Earl of Leven","4,000 killed
1,500 captured
14 guns lost","17,500:
Rupert's army:
6,000 horse
8,000 foot
500 dragoons
14 guns
York garrison:
3,000 foot","24,500:
Covenanters:
2,000 horse
11,000 foot
500 dragoons
50 guns
Parliamentarians:
5,000 horse
6,000 foot",L,300 killed,
253,Battle_of_Freiburg,"3 August, 5 August, 9 August 1644","Freiburg, Baden-Württemberg
(present-day Germany)",Inconclusive[1],"Louis, Grand Condé","2,500[1]","16,500 men
20 guns

8,300 infantry
8,200 cavalry","20,000 men
37 guns

11,000 infantry
9.000 cavalry",L,"7,000-8,000[1]",
272,Battle_of_Lagoscuro,"1641–44 (1st), 1649 (2nd)","Castro, Italy",Farnese defeat and the destruction of Castro,Antonio Barberini,,unknown,unknown,L,,
291,Battle_of_Jankau,5 March 1645,"Near Jankov, 50 km southeast of Prague, Bohemia (present-day Czech Republic)",Decisive Swedish victory,Sweden,"9,450 men

5,000 killed or wounded
4,450 captured

26 guns","16,000 men
26 guns

5,000 infantry
11,000 cavalry","16,017 men
60 guns

900 officers
6,135 infantry
8,530 cavalry
452 gunners",L,"4,000 men

2,000 killed
2,000 wounded",
338,Siege_of_Pembroke,31 May – 11 July 1648,"Pembroke Castle, Wales",Parliamentarian victory,Rowland Laugharne,,unknown,unknown,L,,
343,Battle_of_Zusmarshausen,17 May 1648,"Zusmarshausen, near Augsburg (present-day Germany)",Franco-Swedish victory,Sweden,"2,000[1]","4,000 infantry
6,000 cavalry[1]","11,000 Swedish infantry
7,000 Swedish cavalry
8,000 French troops[1]",L,,
349,Battle_of_Prague_(1648),25 July – 1 November 1648,"Prague, Kingdom of Bohemia, Habsburg Monarchy
50°05′11″N 14°24′44″E﻿ / ﻿50.08639°N 14.41222°E﻿ / 50.08639; 14.41222Coordinates: 50°05′11″N 14°24′44″E﻿ / ﻿50.08639°N 14.41222°E﻿ / 50.08639; 14.41222",Disputed; the Swedes loot Prague Castle but fail to capture the Old Town,Sweden,"219 dead, 475 wounded","cca 2000 soldiers, plus local militia and Academic Legion",cca 7500 soldiers (unconfirmed) plus 6000 reinforcements led by Charles X Gustav of Sweden,L,"500 dead, 700 wounded",
