Column1,Column2,Column3,Column4
,url,Battle,
0,/wiki/Battle_of_Bantam,Battle_of_Bantam,
2,/wiki/Siege_of_Nagykanizsa,Siege_of_Nagykanizsa,
3,/wiki/Battle_of_Sluis_(1603),Battle_of_Sluis_(1603),
5,/wiki/Battle_of_Bra%C8%99ov,Battle_of_Brasov,
6,/wiki/Battle_of_Dobrynichi,Battle_of_Dobrynichi,
8,/wiki/Battle_of_Kircholm,Battle_of_Kircholm,
9,/wiki/Battle_of_Cape_Rachado,Battle_of_Cape_Rachado,
12,/wiki/Siege_of_Groenlo_(1606)#Spinola.27s_siege,Siege_of_Groenlo_(1606),
13,/wiki/Battle_of_Gibraltar_(1607),Battle_of_Gibraltar_(1607),
15,/wiki/Siege_of_Troitse-Sergiyeva_Lavra,Siege_of_Troitse-Sergiyeva_Lavra,
17,/wiki/Battle_of_Kluszyn,Battle_of_Kluszyn,
18,/wiki/Siege_of_Smolensk_(1609%E2%80%9311),Siege_of_Smolensk_(1609–11),
19,/wiki/Battle_of_Kringen,Battle_of_Kringen,
21,/wiki/English_East_India_Company,English_East_India_Company,
22,/wiki/Battle_of_Imafuku,Battle_of_Imafuku,
23,/wiki/Battle_of_Kashii,Battle_of_Kashii,
25,/wiki/Battle_of_Tenn%C5%8Dji,Battle_of_Tennōji,
26,/wiki/Battle_of_Playa_Honda,Battle_of_Playa_Honda,
27,/wiki/Siege_of_Plze%C5%88,Siege_of_Plzeň,
28,/wiki/Battle_of_Sablat,Battle_of_Sablat,
30,/wiki/Battle_of_Sarhu,Battle_of_Sarhu,
31,/wiki/Battle_of_Wisternitz,Battle_of_Wisternitz,
32,/wiki/Battle_of_White_Mountain,Battle_of_White_Mountain,
34,/wiki/Battle_of_Cecora_(1620),Battle_of_Cecora_(1620),
35,/wiki/Battle_of_Khotyn_(1621),Battle_of_Khotyn_(1621),
36,/wiki/Battle_of_Mingolsheim,Battle_of_Mingolsheim,
38,/wiki/Battle_of_Wimpfen,Battle_of_Wimpfen,
39,/wiki/Battle_of_H%C3%B6chst,Battle_of_Höchst,
40,/wiki/Battle_of_Fleurus_(1622),Battle_of_Fleurus_(1622),
41,/wiki/Battle_of_Stadtlohn,Battle_of_Stadtlohn,
43,/wiki/Capture_of_Bahia,Capture_of_Bahia,
46,/wiki/Siege_of_Breda_(1624),Siege_of_Breda_(1624),
47,/wiki/Recapture_of_Bahia,Recapture_of_Bahia,
49,/wiki/Action_of_1_February_1625,Action_of_1_February_1625,
50,/wiki/Battle_of_Elmina_(1625),Battle_of_Elmina_(1625),
51,/wiki/Battle_of_Wallhof,Battle_of_Wallhof,
53,/wiki/Battle_of_Lutter_am_Berenberge,Battle_of_Lutter_am_Berenberge,
54,/wiki/Battle_of_Dirschau,Battle_of_Dirschau,
56,/wiki/Siege_of_Groenlo_(1627),Siege_of_Groenlo_(1627),
57,/wiki/Battle_of_Oliwa,Battle_of_Oliwa,
58,/wiki/Battle_in_the_Bay_of_Matanzas,Battle_in_the_Bay_of_Matanzas,
59,/wiki/Battle_of_G%C3%B3rzno,Battle_of_Górzno,
61,/wiki/Battle_of_Trzciana,Battle_of_Trzciana,
62,/wiki/Siege_of_%27s-Hertogenbosch,Siege_of_'s-Hertogenbosch,
63,/wiki/Siege_of_Recife_(1630),Siege_of_Recife_(1630),
64,/wiki/Sack_of_Magdeburg,Sack_of_Magdeburg,
66,/wiki/Battle_of_Albrolhos,Battle_of_Albrolhos,
67,/wiki/Battle_of_Breitenfeld_(1631),Battle_of_Breitenfeld_(1631),
68,/wiki/Battle_of_the_Slaak,Battle_of_the_Slaak,
69,/wiki/Battle_of_Rain,Battle_of_Rain,
71,/wiki/Capture_of_Maastricht,Capture_of_Maastricht,
72,/wiki/Battle_of_L%C3%BCtzen_(1632),Battle_of_Lützen_(1632),
73,/wiki/Battle_of_Liaoluo_Bay,Battle_of_Liaoluo_Bay,
74,/wiki/Battle_of_N%C3%B6rdlingen_(1634),Battle_of_Nördlingen_(1634),
75,/wiki/Battle_of_Wittstock,Battle_of_Wittstock,
76,/wiki/Battle_of_Elmina_(1637),Battle_of_Elmina_(1637),
79,/wiki/Siege_of_Breda_(1637),Siege_of_Breda_(1637),
80,/wiki/Battle_of_Kallo,Battle_of_Kallo,
81,/wiki/Battle_of_the_Downs,Battle_of_the_Downs,
83,/wiki/Action_of_30_September_1639,Action_of_30_September_1639,
84,/wiki/Battle_of_Malacca_(1641),Battle_of_Malacca_(1641),
86,/wiki/Capture_of_Luanda,Capture_of_Luanda,
87,/wiki/Battle_of_Honnecourt,Battle_of_Honnecourt,
89,/wiki/Battle_of_Edgehill,Battle_of_Edgehill,
90,/wiki/Battle_of_Breitenfeld_(1642),Battle_of_Breitenfeld_(1642),
91,/wiki/Battle_of_Brentford_(1642),Battle_of_Brentford_(1642),
92,/wiki/Battle_of_Lostwithiel,Battle_of_Lostwithiel,
93,/wiki/Battle_of_Rocroi,Battle_of_Rocroi,
95,/wiki/Battle_of_Adwalton_Moor,Battle_of_Adwalton_Moor,
96,/wiki/Battle_of_Burton_Bridge_(1643),Battle_of_Burton_Bridge_(1643),
97,/wiki/Battle_of_Lansdowne,Battle_of_Lansdowne,
98,/wiki/Battle_of_Roundway_Down,Battle_of_Roundway_Down,
99,/wiki/First_Battle_of_Newbury,First_Battle_of_Newbury,
100,/wiki/Battle_of_Tuttlingen,Battle_of_Tuttlingen,
101,/wiki/Battle_of_Ochmat%C3%B3w_(1644),Battle_of_Ochmatów_(1644),
103,/wiki/Battle_of_Cropredy_Bridge,Battle_of_Cropredy_Bridge,
104,/wiki/Battle_of_Marston_Moor,Battle_of_Marston_Moor,
105,/wiki/Battle_of_Freiburg,Battle_of_Freiburg,
106,/wiki/Battle_of_Tippermuir,Battle_of_Tippermuir,
108,/wiki/Battle_of_Aberdeen_(1644),Battle_of_Aberdeen_(1644),
109,/wiki/Second_Battle_of_Newbury,Second_Battle_of_Newbury,
110,/wiki/Battle_of_J%C3%BCterbog,Battle_of_Jüterbog,
111,/wiki/Battle_of_Lagoscuro,Battle_of_Lagoscuro,
112,/wiki/Battle_of_Inverlochy_(1645),Battle_of_Inverlochy_(1645),
114,/wiki/Battle_of_Jankau,Battle_of_Jankau,
115,/wiki/Siege_of_Hulst,Siege_of_Hulst,
116,/wiki/Battle_of_Auldearn,Battle_of_Auldearn,
117,/wiki/Battle_of_Naseby,Battle_of_Naseby,
118,/wiki/Battle_of_Alford,Battle_of_Alford,
119,/wiki/Battle_of_N%C3%B6rdlingen_(1645),Battle_of_Nördlingen_(1645),
120,/wiki/Battle_of_Tabocas,Battle_of_Tabocas,
121,/wiki/Battle_of_Kilsyth,Battle_of_Kilsyth,
122,/wiki/Battle_of_Philiphaugh,Battle_of_Philiphaugh,
123,/wiki/Battle_of_Benburb,Battle_of_Benburb,
125,/wiki/Battles_of_La_Naval_de_Manila,Battles_of_La_Naval_de_Manila,
126,/wiki/Battle_of_Dungan%27s_Hill,Battle_of_Dungan's_Hill,
128,/wiki/Battle_of_Knocknanuss,Battle_of_Knocknanuss,
129,/wiki/Battle_of_Puerto_de_Cavite,Battle_of_Puerto_de_Cavite,
130,/wiki/Battle_of_Kombi,Battle_of_Kombi,
