Battle,belligerent,pos,Result,VorD
Siege_of_Nagykanizsa,Tiryaki Hasan Pasha,L,Decisive Ottoman victory,V
Siege_of_Nagykanizsa,"Ferdinand II, Holy Roman Emperor",R,Decisive Ottoman victory,D
Battle_of_Sluis_(1603),Joos de Moor,L,Dutch victory,V
Battle_of_Sluis_(1603),Federico Spinola,R,Dutch victory,D
Battle_of_Dobrynichi,False Dmitry I,L,Russian decisive victory,L
Battle_of_Dobrynichi,Fyodor Mstislavsky,R,Russian decisive victory,W
Battle_of_Kircholm,Jan Karol Chodkiewicz,L,Decisive Polish-Lithuanian victory,V
Battle_of_Kircholm,Hetmans of the Polish–Lithuanian Commonwealth,L,Decisive Polish-Lithuanian victory,V
Battle_of_Kircholm,Charles IX of Sweden,R,Decisive Polish-Lithuanian victory,D
Battle_of_Cape_Rachado,Martim Afonso de Castro,L,Portuguese victory,V
Battle_of_Cape_Rachado,Cornelis Matelief de Jonge,R,Portuguese victory,L
Siege_of_Groenlo_(1606),"Ambrogio Spinola, 1st Marquis of the Balbases",L,"1st Siege: Spanish victory
2nd Siege: Spanish victory",V
Siege_of_Groenlo_(1606),"Maurice, Prince of Orange",R,"1st Siege: Spanish victory
2nd Siege: Spanish victory",D
Battle_of_Gibraltar_(1607),Jacob van Heemskerk,L,Decisive Dutch victory,V
Siege_of_Troitse-Sergiyeva_Lavra,Jan Piotr Sapieha,L,Russian victory,D
Siege_of_Troitse-Sergiyeva_Lavra,Aleksander Józef Lisowski,L,Russian victory,D
Siege_of_Troitse-Sergiyeva_Lavra,Grigory Dolgorukov,R,Russian victory,V
Siege_of_Troitse-Sergiyeva_Lavra,Aleksey Golokhvastov,R,Russian victory,V
Battle_of_Kluszyn,Stanisław Żółkiewski,L,Decisive Polish-Lithuanian victory,V
Battle_of_Kluszyn,Dmitry Shuisky,R,Decisive Polish-Lithuanian victory,D
Battle_of_Kluszyn,Jacob De la Gardie,R,Decisive Polish-Lithuanian victory,D
Siege_of_Smolensk_(1609–11),Sigismund III Vasa,L,Polish victory,V
Siege_of_Smolensk_(1609–11),Mikhail Shein,R,Polish victory,D
Battle_of_Kringen,George Sinclair (mercenary),L,Decisive Dano-Norwegian victory,D
Battle_of_Kringen,Lars Gunnarson Hågå,R,Decisive Dano-Norwegian victory,V
Battle_of_Imafuku,Satake Yoshinobu,L,Tokugawa victory,V
Battle_of_Imafuku,Uesugi Kagekatsu,L,Tokugawa victory,V
Battle_of_Imafuku,Kimura Shigenari,R,Tokugawa victory,D
Battle_of_Imafuku,Gotō Mototsugu,R,Tokugawa victory,D
Battle_of_Kashii,Asano Nagaakira,L,Toyotomi defeat and withdrawal,V
Battle_of_Kashii,Ōno Harunaga,R,Toyotomi defeat and withdrawal,D
Battle_of_Kashii,Hanawa Naoyuki,R,Toyotomi defeat and withdrawal,D
Battle_of_Kashii,Okabe Noritsuna,R,Toyotomi defeat and withdrawal,D
Battle_of_Tennōji,Tokugawa Ieyasu,L,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",V
Battle_of_Tennōji,Tokugawa Hidetada,L,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",V
Battle_of_Tennōji,Matsudaira Tadanao,L,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",V
Battle_of_Tennōji,Toyotomi Hideyori,R,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",D
Battle_of_Tennōji,Sanada Yukimura,R,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",D
Battle_of_Tennōji,Mōri Katsunaga,R,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",D
Battle_of_Tennōji,Akashi Takenori,R,"Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",D
Siege_of_Plzeň,Ernst von Mansfeld,L,Bohemian victory,V
Siege_of_Plzeň,"Charles Bonaventure de Longueval, Count of Bucquoy",R,Bohemian victory,D
Siege_of_Plzeň,Torquato Conti,R,Bohemian victory,D
Battle_of_Sablat,Ernst von Mansfeld,L,Imperial victory,D
Battle_of_Sablat,"Charles Bonaventure de Longueval, Count of Bucquoy",R,Imperial victory,V
Battle_of_Sarhu,Nurhaci,L,Decisive Later Jin victory,V
Battle_of_Sarhu,Hong Taiji,L,Decisive Later Jin victory,V
Battle_of_Sarhu,Daišan,L,Decisive Later Jin victory,V
Battle_of_Sarhu,Laimbu,L,Decisive Later Jin victory,V
Battle_of_Sarhu,Li Rubai,R,Decisive Later Jin victory,D
Battle_of_Sarhu,Gang Hong-rip,R,Decisive Later Jin victory,D
Battle_of_Wisternitz,Friedrich von Tiefenbach,L,Bohemian victory,V
Battle_of_Wisternitz,Ladislav Velen ze Žerotína,L,Bohemian victory,V
Battle_of_Wisternitz,Heinrich von Dampierre – Wikipedia,R,Bohemian victory,D
