Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
1898_invasion_of_GuantÃ¡namo_Bay,,,,,,,R,D,5000,,3,2,,
1898_invasion_of_GuantÃ¡namo_Bay,,,,,,,R,D,5000,,7,2,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Abdul Rahman Hassan Azzam,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Farouk of Egypt,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Abdullah I of Jordan,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Muzahim al-Pachachi,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Husni al-Za'im,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Amin al-Husseini,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Ahmed Ali al-Mwawi,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949","Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","Israeli victory
Jordanian partial victory[5][6]
Palestinian Arab defeat
Egyptian defeat
Arab League strategic failure
1949 Armistice Agreements",Mohammed Naguib,"Israel: 29,677 (initially)
117,500 (finally)[Note 1]","Egypt: 10,000 initially, rising to 20,000[citation needed]
Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]
Syria: 2,500–5,000[citation needed]
Transjordan: 8,000–12,000[citation needed]
Lebanon: 1,000[8]
Saudi Arabia: 800–1,200 (Egyptian command)
Yemen: 300[citation needed]
Arab Liberation Army: 3,500–6,000.
Total:
13,000 (initial)
51,100 (minimal)
63,500 (maximum)[Note 2]",R,D,58800,,,,,
