,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken
0,Siege_of_Nagykanizsa,9 September 1601 – 18 November 1601,"Naģykanizsa, Ottoman Empire",Decisive Ottoman victory,Tiryaki Hasan Pasha,"Heavy losses[2]
3000 sick and wounded[1]","35,000[1]
40+ cannon","9,000
100 small cannon",L,Unknown
1,Siege_of_Nagykanizsa,9 September 1601 – 18 November 1601,"Naģykanizsa, Ottoman Empire",Decisive Ottoman victory,"Ferdinand II, Holy Roman Emperor",Unknown,"9,000
100 small cannon","35,000[1]
40+ cannon",R,"Heavy losses[2]
3000 sick and wounded[1]"
2,Battle_of_Sluis_(1603),26 May 1603,Sluis (present-day Netherlands),Dutch victory,Joos de Moor,"414 killed[3](Spanish source)
800 dead or wounded
no ships lost[2](Dutch source)","8 Galleys,
1,130 soldiers[1](Spanish source)
8 galleys 4 smaller vessels[2](Dutch source)","3 men-of-war,
2 galleys,
several minor vessels[1](Spanish source)
2 galleys 2 smaller vessels.[2] Dutch source",L,"720 killed,
1 man-of-war sunk[3](Spanish source)
50 dead or wounded
no ships lost[2](Dutch source)"
3,Battle_of_Sluis_(1603),26 May 1603,Sluis (present-day Netherlands),Dutch victory,Federico Spinola,"720 killed,
1 man-of-war sunk[3](Spanish source)
50 dead or wounded
no ships lost[2](Dutch source)","3 men-of-war,
2 galleys,
several minor vessels[1](Spanish source)
2 galleys 2 smaller vessels.[2] Dutch source","8 Galleys,
1,130 soldiers[1](Spanish source)
8 galleys 4 smaller vessels[2](Dutch source)",R,"414 killed[3](Spanish source)
800 dead or wounded
no ships lost[2](Dutch source)"
4,Battle_of_Dobrynichi,21 January 1605,"Near Dobrynichi, Russia
52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167Coordinates: 52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167",Russian decisive victory,False Dmitry I,?,"20,000","23,000",L,?
5,Battle_of_Dobrynichi,21 January 1605,"Near Dobrynichi, Russia
52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167Coordinates: 52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167",Russian decisive victory,Fyodor Mstislavsky,?,"23,000","20,000",R,?
6,Battle_of_Kircholm,"September 17, 1605 (O.S.)
September 27, 1605 (N.S.)","Kircholm, present-day Salaspils, Latvia",Decisive Polish-Lithuanian victory,Jan Karol Chodkiewicz,"7,600–8,000 killed, captured and dispersed[2]","10,868:[1]:64
2,500 cavalry
8,368 infantry
11 cannon","3,600:[1]:64
1,000 infantry
2,600 cavalry
5 cannon",L,"100 killed,
200 wounded[1]:65"
7,Battle_of_Kircholm,"September 17, 1605 (O.S.)
September 27, 1605 (N.S.)","Kircholm, present-day Salaspils, Latvia",Decisive Polish-Lithuanian victory,Hetmans of the Polish–Lithuanian Commonwealth,"7,600–8,000 killed, captured and dispersed[2]","10,868:[1]:64
2,500 cavalry
8,368 infantry
11 cannon","3,600:[1]:64
1,000 infantry
2,600 cavalry
5 cannon",L,"100 killed,
200 wounded[1]:65"
8,Battle_of_Kircholm,"September 17, 1605 (O.S.)
September 27, 1605 (N.S.)","Kircholm, present-day Salaspils, Latvia",Decisive Polish-Lithuanian victory,Charles IX of Sweden,"100 killed,
200 wounded[1]:65","3,600:[1]:64
1,000 infantry
2,600 cavalry
5 cannon","10,868:[1]:64
2,500 cavalry
8,368 infantry
11 cannon",R,"7,600–8,000 killed, captured and dispersed[2]"
9,Battle_of_Cape_Rachado,16 to 18 August 1606,"Off Cape Rachado, Portuguese Malacca",Portuguese victory,Martim Afonso de Castro,"2 ships lost
150 dead, many wounded",11 ships,20 ships,L,"2 ships lost
500 dead"
10,Battle_of_Cape_Rachado,16 to 18 August 1606,"Off Cape Rachado, Portuguese Malacca",Portuguese victory,Cornelis Matelief de Jonge,"2 ships lost
500 dead",20 ships,11 ships,R,"2 ships lost
150 dead, many wounded"
