Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
1898_invasion_of_Guantánamo_Bay,6–10 June 1898,Felix Pareja,"Land:   5,000 infantry   7 artillery pieces   1 fort   1 shore battery   1 blockhouse   Sea:   2 gunboats",R,D,5000,,7,2,,
1898_invasion_of_Guantánamo_Bay,6–10 June 1898,Bowman H. McCalla,Land:   623 U.S. Marines   ~300 Cuban militia (guerrillero)   Sea:   1 battleship   1 light cruiser   2 auxiliary cruisers   1 gunboat   1 steamer,L,V,923,,,6,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949",Farouk of Egypt,"Egypt: 10,000 initially, rising to 20,000[citation needed]   Iraq: 3,000 initially, rising to 15,000–18,000[citation needed]   Syria: 2,500–5,000[citation needed]   Transjordan: 8,000–12,000[citation needed]   Lebanon: 1,000[8]   Saudi Arabia: 800–1,200 (Egyptian command)   Yemen: 300[citation needed]   Arab Liberation Army: 3,500–6,000.   Total:   13,000 (initial)   51,100 (minimal)   63,500 (maximum)[Note 2]",R,D,58800,,,,,
1948_Arab–Israeli_War,"15 May 1948 – 10 March 1949
(9 months, 3 weeks and 2 days)
Final armistice agreement concluded on 20 July 1949",David Shaltiel,"Israel: 29,677 (initially)   117,500 (finally)[Note 1]",L,V,117500,,,,,
1982_Lebanon_War,"6 June 1982 – June 1985
(main phase June–September 1982)",Yasser Arafat,"Syria:   22,000 troops   352 tanks   300 APCs   450 aircraft   300 artillery pieces   100 anti-aircraft guns   125 SAM batteries   PLO:   15,000 troops   80 tanks   150 APCs   350+ artillery pieces   250+ anti-aircraft guns",R,I,37500,882,1125,,450,
1982_Lebanon_War,"6 June 1982 – June 1985
(main phase June–September 1982)",Fadi Frem,"Israel:   78,000 troops   800 tanks   1,500 APCs   634 aircraft   LF:   30,000 troops   SLA:   5,000 troops   97 tanks",L,I,113000,2397,,,634,
1998_Battle_of_Kilinochchi,"September 27, 1998 - September 29, 1998",Velupillai Prabhakaran,Unknown,R,V,1,,,,,
1998_Battle_of_Kilinochchi,"September 27, 1998 - September 29, 1998",Chandrika Kumaratunga,Unknown,L,D,1,,,,,
Abagana_Ambush,31-Mar-68,Jonathan Uchendu,700[4],R,V,700,,,,,
Abagana_Ambush,31-Mar-68,Murtala Mohammed,6000[nb 2],L,D,6000,,,,,
Action_at_Bronkhorstspruit,20 December 1880,Lieutenant colonel (United Kingdom),268,L,D,268,,,,,
Action_at_Bronkhorstspruit,20 December 1880,Commandant-general,250,R,,250,,,,,
Attack_on_Rabaul,2–11 November 1943,Mineichi Koga,"10 cruisers,   11 destroyers,   200 aircraft[1]",R,D,,,,21,200,
Attack_on_Rabaul,2–11 November 1943,Frederick C. Sherman,"3 fleet carriers,   2 light carriers,   2 light cruisers,   9 destroyers,   282 carrier aircraft,   349 land-based aircraft[1]",L,V,,,,16,631,
Attack_on_Sydney_Harbour,31 May – 8 June 1942,Gerard Muirhead-Gould,"2 heavy cruisers,   1 light cruiser,   2 armed merchant cruisers,   2 destroyers,   3 corvettes,   1 submarine,   2 anti-submarine vessels,   6 channel patrol boats",L,I,,,,19,,
