,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
0,Battle_of_Dobrynichi,21 January 1605,"Near Dobrynichi, Russia
52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167Coordinates: 52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167",Russian decisive victory,False Dmitry I,"20,000","23,000",L,,,,,,,L
1,Battle_of_Dobrynichi,21 January 1605,"Near Dobrynichi, Russia
52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167Coordinates: 52°16′56″N 34°20′30″E﻿ / ﻿52.28222°N 34.34167°E﻿ / 52.28222; 34.34167",Russian decisive victory,Fyodor Mstislavsky,"23,000","20,000",R,,,,,,,W
2,Battle_of_Cape_Rachado,16 to 18 August 1606,"Off Cape Rachado, Portuguese Malacca",Portuguese victory,Martim Afonso de Castro,11 ships,20 ships,L,,,,,,,V
3,Siege_of_Groenlo_(1606),"3–14 August 1606 (Spinola)
30 October - 9 November 1606 (Maurice)","Groenlo, Gelderland
(present-day the Netherlands)","1st Siege: Spanish victory
2nd Siege: Spanish victory","Ambrogio Spinola, 1st Marquis of the Balbases","1,300-1,400","15,000",L,,,,,,,V
5,Siege_of_Troitse-Sergiyeva_Lavra,September 1608 to January 1610,"now Sergiev Posad, Moscow Oblast
56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972Coordinates: 56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972",Russian victory,Jan Piotr Sapieha,"2,400","15,000",L,,,,,,,D
6,Siege_of_Troitse-Sergiyeva_Lavra,September 1608 to January 1610,"now Sergiev Posad, Moscow Oblast
56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972Coordinates: 56°18′36″N 38°07′47″E﻿ / ﻿56.31000°N 38.12972°E﻿ / 56.31000; 38.12972",Russian victory,Grigory Dolgorukov,"15,000","2,400",R,,,,,,,V
7,Siege_of_Smolensk_(1609–11),1609 to 1611,"near Smolensk, Russia",Polish victory,Sigismund III Vasa,"5,000 soldiers
200 heavy guns","22,000 soldiers
30 heavy guns",L,,,,,,,V
8,Siege_of_Smolensk_(1609–11),1609 to 1611,"near Smolensk, Russia",Polish victory,Mikhail Shein,"22,000 soldiers
30 heavy guns","5,000 soldiers
200 heavy guns",R,,,,,,,D
9,Battle_of_Kashii,"May 26, 1615","Kashii, near Wakayama Castle, Kii Province, Japan",Toyotomi defeat and withdrawal,Ōno Harunaga,5000,3000,R,,,,,,,D
11,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Tokugawa Ieyasu,"50,000","150,000",L,,,,,,,V
13,Battle_of_Tennōji,"June 3, 1615","Osaka Castle, Osaka, Japan and surrounding areas","Tokugawa victory; last resistance to Tokugawa Shogunate eliminated.
End of the siege of Osaka",Toyotomi Hideyori,"150,000","50,000",R,,,,,,,D
14,Siege_of_Plzeň,"19 September - 21 November 1618
(2 months and 2 days)","Pilsen, Bohemia",Bohemian victory,Ernst von Mansfeld,"4,000 Burghers
158 cavalry","20,000",L,,,,,,,V
15,Siege_of_Plzeň,"19 September - 21 November 1618
(2 months and 2 days)","Pilsen, Bohemia",Bohemian victory,"Charles Bonaventure de Longueval, Count of Bucquoy","20,000","4,000 Burghers
158 cavalry",R,,,,,,,D
16,Battle_of_Sablat,10 June 1619,"Záblatí near Dříteň, southern Bohemia (present-day Czech Republic)",Imperial victory,"Charles Bonaventure de Longueval, Count of Bucquoy","3,200","5,000",R,,,,,,,V
